RGBA(0.996, 0.690, 0.447, 1.000)
RGBA(0.988, 0.690, 0.455, 1.000)
RGBA(0.988, 0.690, 0.455, 1.000)
RGBA(0.988, 0.690, 0.455, 1.000)
RGBA(0.988, 0.690, 0.455, 1.000)
RGBA(0.988, 0.690, 0.455, 1.000)
RGBA(0.988, 0.690, 0.455, 1.000)
RGBA(1.000, 0.718, 0.482, 1.000)
RGBA(1.000, 0.718, 0.482, 1.000)
RGBA(1.000, 0.718, 0.482, 1.000)
RGBA(1.000, 0.718, 0.482, 1.000)
RGBA(1.000, 0.718, 0.482, 1.000)
RGBA(1.000, 0.725, 0.490, 1.000)
RGBA(1.000, 0.722, 0.486, 1.000)
RGBA(1.000, 0.725, 0.490, 1.000)
RGBA(1.000, 0.722, 0.486, 1.000)
RGBA(1.000, 0.722, 0.486, 1.000)
RGBA(1.000, 0.722, 0.486, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(1.000, 0.729, 0.502, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.949, 0.667, 0.439, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.945, 0.663, 0.435, 1.000)
RGBA(0.035, 0.031, 0.024, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.035, 0.035, 0.027, 1.000)
RGBA(0.027, 0.027, 0.020, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.031, 0.031, 0.024, 1.000)
RGBA(0.004, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.000, 0.000, 1.000)
RGBA(0.000, 0.004, 0.008, 1.000)
